日期,GAR,trio,V8,豆粕动量,小票
2025-07-28,100.0,100.0,100.0,100.0,100.0
2025-07-29,99.82577227435512,100.54672180561136,99.52439316228433,101.75064047822373,99.68615375132347
2025-07-30,100.10594234615935,100.81646397930201,99.34519875288079,100.12809564474804,100.36494738257468
2025-07-31,100.5458665227516,99.87507799915517,98.76137132328056,98.24935952177626,100.35488231625497
2025-08-01,99.75454196248185,99.93868044174795,98.56613490140109,98.33475661827498,103.33549073705835
2025-08-04,99.43822263757524,100.19194139064827,99.01245999920731,98.76174210076857,104.33526712702242
2025-08-05,100.4556316722788,100.62361495820993,99.435406320552,99.06063193851405,103.96314208096949
2025-08-06,100.26272691776586,100.71707593011894,99.92364749953512,99.74380871050383,102.9032417620719
2025-08-07,100.66351778496272,101.64017420880975,99.93629628418489,99.06063193851405,102.72085314577136
2025-08-08,101.00546980054614,101.83354180517719,99.13201678772177,98.71904355251921,101.79698357263382
2025-08-11,101.0669882651366,101.84912673516355,99.61159682937009,100.6404782237404,102.51312298769699
2025-08-12,101.110180001048,102.06204020285065,99.92697114752448,101.83603757472244,101.68263479048065
2025-08-13,102.35608071237188,102.20976382361668,101.03929538504542,105.59350982066609,101.28751577948253
2025-08-14,102.17793964630575,101.96254750637705,101.02438174863202,104.44064901793337,98.0208319058471
2025-08-15,102.18240209398903,102.80674147631159,102.394777720147,107.13065755764303,99.80634750363889
2025-08-18,102.06617556583113,102.78783539742025,103.21601017436703,110.2476515798463,102.47911485380563
2025-08-19,101.95312652517887,102.70239398430783,102.47721799752316,109.94876174210076,104.43245288838925
2025-08-20,101.36718054493268,103.43267108004841,103.21876051201664,110.50384286934245,105.17540338516096
2025-08-21,101.02567049329569,103.4892486699465,102.71194415551692,109.82066609735269,105.4820953176655
2025-08-22,100.32538978690262,103.5792319968517,105.4489146792185,113.66353543979504,105.21137905059625
2025-08-25,101.45727258265886,111.3791584024562,107.19380733768904,116.865926558497,104.77008758253112
2025-08-26,101.02741104052313,111.40085176647041,106.50364945831991,115.96925704526045,104.40908688409635
2025-08-27,101.42384771825724,110.39113230189508,105.56896394190038,115.11528608027328,101.34486205875417
2025-08-28,101.16587505213943,110.50185469077047,107.07591578109479,119.81212638770278,101.38715721267883
2025-08-29,101.27877441979484,110.46488123846953,106.85425839647371,122.33134073441502,102.38691745596562
2025-09-01,101.3786125697191,110.60498539680394,107.15969831642651,124.97865072587535,106.66607715543412
2025-09-02,101.30375725584233,110.77690271733654,105.59909689153264,121.60546541417591,108.1233102799655
2025-09-03,101.82713236643846,110.86087471354516,103.0675430527767,122.5448334756618,104.41941879670938
2025-09-04,101.46463923693486,110.4185174233169,99.99892839388357,117.46370623398803,107.00173718723786
2025-09-05,102.20587243476919,110.85656204875944,102.204062045922,125.70452604611447,110.25228325995235
2025-09-08,102.38651934065925,111.02191450713332,102.75652242677262,124.16737830913746,111.46882221978936
2025-09-09,102.94684949419965,111.02985280807513,102.17837023577194,121.47736976942784,110.11650229660705
2025-09-10,102.97529129592036,111.77312851920671,103.20765806236456,122.75832621690861,110.9541847891679
2025-09-11,102.91390084500698,112.1385274214825,106.39345602757186,129.16310845431255,111.77730645517559
2025-09-12,103.25546868120384,112.01953202926296,106.56103763941363,127.88215200683177,111.02783496777104
2025-09-15,103.17828664018094,111.89456928555961,106.95695053901375,129.67549103330484,110.93202665782134
2025-09-16,103.64185944751709,111.73996484413853,108.05978011679717,130.61485909479077,110.77263178411805
2025-09-17,103.2133801772648,112.05347853930243,110.0946756674404,133.17677198975238,111.96316435070092
2025-09-18,103.3163128689323,111.2443579848819,109.19594845573415,130.95644748078567,111.07245691208773
2025-09-19,103.80891217351804,111.33858839226829,108.18432081630982,130.74295473953885,110.59510718870793
2025-09-22,105.55528976082414,111.12428092586035,109.9817141178744,131.596925704526,108.84367859404809
2025-09-23,105.7684789940859,111.04593701257839,108.54228326509066,132.066609735269,105.52983508784224
2025-09-24,105.6903609697228,111.03382113719127,111.5127675569978,134.92741246797607,107.22505335987702
2025-09-25,105.53493692693571,110.99493205548141,112.16328512601477,137.10503842869338,105.17683746219002
2025-09-26,105.33654418016904,114.78178272944612,110.70368063643726,133.60375747224595,104.14596312322966
2025-09-29,105.91866614289198,114.99058575345565,113.05038077112224,137.19043552519216,104.94485770020505
2025-09-30,106.44050125615875,115.07717614338566,114.12455135009951,137.3612297181896,103.98109189137779
2025-10-09,108.35116434102714,115.71663225727275,115.26689971201054,138.12980358667807,102.74091735184543
2025-10-10,108.24019749916513,115.80397731459576,111.6443720160192,132.15200683176772,103.71080214049888
2025-10-13,108.12190821991258,115.70999490171012,110.82706539112918,133.77585433712562,103.60656209278373
2025-10-14,107.48060577705363,115.84208776114761,107.12255791592717,132.8494970275605,103.51121616395424
2025-10-15,108.45567023594799,116.1422781461492,109.04837357535904,135.97291269747478,105.91135536313057
2025-10-16,108.88026174707153,116.05992244448498,108.35993117275828,136.6883533936199,104.71932382122617
2025-10-17,108.41727706119838,115.05082616475073,105.00636957370347,138.0419171851184,104.34146803269574
2025-10-20,109.38566118543677,115.15321119291606,106.27145852140892,133.66625188037023,105.83717159455115
2025-10-21,110.28994310400083,115.52143048188199,108.88576032352452,136.86801147439718,109.16696791641706
2025-10-22,109.82539632766265,116.3687874547256,107.88686263275433,131.25772101459316,108.6056169336124
2025-10-23,110.09875448379198,116.76840636898265,107.97274585745117,129.71453057963421,108.07360570063555
2025-10-24,110.34567283901265,116.76562890642464,110.88011881439428,129.07994759703425,108.0129257947299
2025-10-27,112.01687148992467,117.13555949318841,113.43788486295769,128.5607433385434,108.48158007356999
2025-10-28,111.47039643825703,116.87303725826811,112.469212216065,123.98886139572107,108.24458175587696
2025-10-29,112.67373042110434,117.17180100099507,113.72299584957786,125.35898374451642,110.38121473020878
2025-10-30,112.21966625587088,117.16314823903613,111.17628405242104,125.53205183068003,109.38534894575305
2025-10-31,112.3427110754416,117.1295819271052,108.3990167939381,126.83006247690717,110.63598147136493
2025-11-03,112.54963622377794,117.66373356675268,107.92943499342928,126.67707475225993,111.75056166401909
2025-11-04,111.00031322816497,117.4650883079361,106.90592623971675,125.30270655660001,110.16513482594408
2025-11-05,110.76549422176049,118.43879416277264,106.34644954355043,124.37961130631972,110.99309513879582
