策略,开始日期,结束日期,区间收益,年化,夏普,最大回撤,卡玛
GAR,2023-07-28,2026-07-28,0.5502297003362298,0.1573131143629427,1.2337407187550693,-0.1027634698455237,1.5308271956894717
trio,2023-07-28,2026-07-28,0.5374393297110582,0.1541221936794528,1.2763274056060536,-0.1205902566085745,1.2780650610912947
V8,2023-07-28,2026-07-28,0.4147499031962804,0.1225743142148731,0.59396107314769,-0.2943974075174608,0.4163566359109438
豆粕动量,2023-07-28,2026-07-28,1.2932731172266312,0.3186347598698285,1.0912170798614045,-0.255041075429425,1.2493468329888733
小票,2023-07-28,2026-07-28,3.7613483248201423,0.6821257311062638,1.476015562597104,-0.3519359352289222,1.9382099490993
