日期,GAR,trio,V8,豆粕动量,小票
2026-01-28,100.0,100.0,100.0,100.0,100.0
2026-01-29,101.1984183067164,100.6365110125937,97.53656372201974,101.85323357414187,99.83309621012015
2026-01-30,99.14215688535963,99.86684382349445,97.23414577367285,99.59445510617219,99.09139158750274
2026-02-02,95.81481343749596,98.2809442117906,93.18186490886595,89.57832324621903,96.86802918787095
2026-02-03,97.3367058646503,100.184612102376,95.2202062071097,94.22540218733293,98.19268987669764
2026-02-04,97.87067346503274,100.90154381595038,93.94094947160592,98.24865146514557,99.19401611105359
2026-02-05,97.07045446669643,100.66461030428158,92.0995593436101,95.1385441582522,98.17584435894246
2026-02-06,96.091700985948,100.7314559179134,91.89982035598676,93.63773656248392,99.15759057852978
2026-02-09,97.75265818411482,101.19449969743431,94.73187310946754,96.9105820424124,99.58652979505509
2026-02-10,97.51985267951102,101.24426290216633,94.86904700243261,96.45853156175927,98.53330738088317
2026-02-11,97.80478781052221,101.46501537750777,94.42836437101737,97.2631814173218,98.52374319323447
2026-02-12,97.65977949570018,101.48249825972104,95.82974208255467,96.91962305202544,97.87345008229187
2026-02-13,97.39197694882226,100.81240075578295,94.95271259726583,95.60867665813144,97.69509856689396
2026-02-24,98.00413606146367,101.74516106479541,96.48303905281786,98.99905526302969,99.0179570918899
2026-02-25,98.33644597254356,101.95426816121196,97.64849701866922,99.0804243495473,99.1182346057826
2026-02-26,98.35041696725756,102.0268263038155,98.51932191637331,98.66453790734643,98.72099745464344
2026-02-27,98.18139067535493,101.22882276009979,98.15091527538357,98.84535809960767,98.22333028697547
2026-03-02,98.80290937278004,101.9347225246932,97.99874068570861,103.22120675232969,96.8167605082367
2026-03-03,98.60375376131861,101.84129149798558,93.83819063965085,101.79272723346588,101.0167889106664
2026-03-04,98.37237476185621,101.37611690172639,93.16534606460046,99.27028555142158,98.98893356704806
2026-03-05,98.45454145918863,101.60154640322645,94.7008411754345,99.12562939761258,99.4806223976386
