策略,开始日期,结束日期,区间收益,年化,夏普,最大回撤,卡玛
GAR,2026-01-28,2026-07-28,0.0211463224616139,0.0431316848146385,0.3461091105947335,-0.0786624472025907,0.5483135390328671
trio,2026-01-28,2026-07-28,-0.0038237459927399,-0.0077011335630515,-0.0225475648152792,-0.091779289097297,-0.0839092745084073
V8,2026-01-28,2026-07-28,0.0225507715324664,0.046028846412218,0.3372936366648197,-0.2943974075174607,0.1563493605475723
豆粕动量,2026-01-28,2026-07-28,0.0368446966701374,0.0757455879927029,0.3939905171508116,-0.138626243642577,0.5464015038018297
小票,2026-01-28,2026-07-28,-0.2183198286435845,-0.3916725096785248,-1.5788296803086674,-0.272810982469616,-1.435691870367231
