策略,开始日期,结束日期,区间收益,年化,夏普,最大回撤,卡玛
GAR,2025-07-28,2026-07-28,0.187060660674416,0.1872000917539242,1.35378904564541,-0.0786624472025906,2.3797898287069703
trio,2025-07-28,2026-07-28,0.2574885596051279,0.2576859116715664,2.018904424247537,-0.0917792890972969,2.807669510257252
V8,2025-07-28,2026-07-28,0.2306789430173448,0.2308539192287559,0.76247674950597,-0.2943974075174607,0.7841574461387336
豆粕动量,2025-07-28,2026-07-28,0.3813220985062855,0.3816277650516204,1.181569751294027,-0.1386262436425771,2.752925817102706
小票,2025-07-28,2026-07-28,-0.1199813639510564,-0.1200583996975397,-0.3636773059179878,-0.2780486225727511,-0.4317892265987637
